param_grid = {'relaxation: damping factor': list(np.arange(0.4, 1.8, 0.1).round(decimals=2)),
              'relaxation: sweeps': list(np.arange(1, 5, 1))}
--timeout 60
chkao831@icme-gpu:~/ali-perf-tests/build/perf_tests/humboldt-3-20km$ python3 autotune.py input_albany_Velocity_MueLu_Wedge_Tune.yaml

Total #Iterations: 56
    relaxation: damping factor  relaxation: sweeps     time
0                          0.8                   1  12.1781
1                          0.9                   1  12.2051
2                          0.7                   1  12.2532
3                          1.0                   1  12.2554
4                          0.6                   1  12.2642
5                          0.5                   1  12.3777
6                          1.1                   1  12.3995
7                          0.4                   1  12.4508
8                          1.1                   2  12.5998
9                          0.8                   2  12.6732
10                         0.9                   2  12.6863
11                         0.7                   2  12.7719
12                         1.0                   2  12.7901
13                         1.2                   1  12.8126
14                         1.2                   2  12.8511
15                         0.5                   2  12.8849
16                         0.6                   2  12.9107
17                         0.4                   2  12.9474
18                         1.0                   3  13.1124
19                         1.1                   3  13.1214
20                         0.9                   3  13.1851
21                         0.8                   3  13.2375
22                         1.2                   3  13.2450
23                         0.7                   3  13.2640
24                         0.6                   3  13.3782
25                         0.5                   3  13.4404
26                         0.4                   3  13.5854
27                         1.1                   4  13.6045
28                         1.3                   2  13.6094
29                         1.2                   4  13.6720
30                         1.0                   4  13.7100
31                         0.9                   4  13.7337
32                         1.3                   3  13.7856
33                         1.3                   1  13.8924
34                         0.8                   4  13.8977
35                         0.6                   4  14.0277
36                         0.7                   4  14.0291
37                         1.3                   4  14.1591
38                         0.4                   4  14.2169
39                         0.5                   4  14.4265
40                         1.4                   3  16.0936
41                         1.4                   4  16.2968
42                         1.4                   2  16.3113
43                         1.4                   1  18.3610
44                         1.5                   4  25.1471
45                         1.5                   3  25.9616
46                         1.5                   2  28.5531
47                         1.5                   1  35.9439
48                         1.6                   1      inf
49                         1.6                   2      inf
50                         1.6                   3      inf
51                         1.6                   4      inf
52                         1.7                   1      inf
53                         1.7                   2      inf
54                         1.7                   3      inf
55                         1.7                   4      inf
