relaxation: damping factor,relaxation: sweeps,time
0.82,1,12.1521
0.89,1,12.1646
0.87,1,12.1686
0.85,1,12.1756
0.84,1,12.1933
0.99,1,12.2022
0.9,1,12.2042
0.96,1,12.2103
0.88,1,12.2109
0.91,1,12.2137
0.97,1,12.215
0.95,1,12.216
0.81,1,12.2283
0.86,1,12.232
0.92,1,12.2321
1.02,1,12.2327
1.01,1,12.2343
0.94,1,12.2353
0.8,1,12.2357
0.83,1,12.2461
0.93,1,12.25
1.0,1,12.2501
1.03,1,12.2636
0.98,1,12.265
1.07,1,12.2913
1.05,1,12.3036
1.06,1,12.319
1.04,1,12.3266
1.08,1,12.3305
1.1,1,12.3923
1.09,1,12.4029
1.11,1,12.445
1.13,1,12.4918
1.12,1,12.5267
1.04,2,12.553
1.0,2,12.5542
0.97,2,12.5719
1.08,2,12.579
1.15,1,12.582
1.05,2,12.5839
1.09,2,12.5852
0.94,2,12.5984
1.02,2,12.5985
0.96,2,12.604
1.01,2,12.6097
0.99,2,12.6108
1.14,1,12.6113
1.03,2,12.6156
0.95,2,12.6239
0.87,2,12.6242
0.89,2,12.625
1.16,1,12.6257
0.93,2,12.6305
0.88,2,12.6343
0.84,2,12.636
1.07,2,12.6364
0.98,2,12.6459
0.85,2,12.6524
0.9,2,12.6582
0.81,2,12.6642
1.12,2,12.6656
0.92,2,12.6693
0.82,2,12.6721
0.86,2,12.6736
1.11,2,12.6828
1.06,2,12.6857
1.17,1,12.6857
0.8,2,12.6894
0.91,2,12.6949
0.83,2,12.7046
1.15,2,12.712
1.1,2,12.7122
1.14,2,12.7146
1.13,2,12.7181
1.18,1,12.7511
1.16,2,12.7561
1.17,2,12.7787
1.19,1,12.8199
1.18,2,12.8492
1.19,2,12.8616
