1::relaxation: inner damping factor,1::relaxation: sweeps,1::relaxation: type,3::relaxation: damping factor,3::relaxation: sweeps,3::relaxation: type,4::relaxation: sweeps,4::relaxation: type,time
0.25,2,Two-stage Gauss-Seidel,0.8,1,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,11.072
0.25,2,Two-stage Gauss-Seidel,0.8,1,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,11.0791
0.25,2,Two-stage Gauss-Seidel,1.0,1,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,11.1004
0.25,2,Two-stage Gauss-Seidel,1.0,1,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,11.1026
0.25,2,Two-stage Gauss-Seidel,1.0,2,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,11.1172
0.25,2,Two-stage Gauss-Seidel,0.8,2,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,11.1779
0.25,2,Two-stage Gauss-Seidel,0.8,2,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,11.199
0.25,2,Two-stage Gauss-Seidel,1.0,2,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,11.2311
0.25,2,Two-stage Gauss-Seidel,1.0,2,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,11.3094
0.25,2,Two-stage Gauss-Seidel,0.8,1,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,11.3108
0.25,2,Two-stage Gauss-Seidel,1.0,1,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,11.3237
0.25,2,Two-stage Gauss-Seidel,1.0,1,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,11.3299
0.25,2,Two-stage Gauss-Seidel,0.8,2,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,11.35
0.25,2,Two-stage Gauss-Seidel,1.0,2,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,11.4052
0.25,2,Two-stage Gauss-Seidel,0.8,2,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,11.418
0.25,2,Two-stage Gauss-Seidel,0.8,1,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,11.4465
0.25,1,Two-stage Gauss-Seidel,0.8,2,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,11.7602
0.25,1,Two-stage Gauss-Seidel,0.8,1,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,11.8435
0.25,1,Two-stage Gauss-Seidel,0.8,1,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,11.8489
0.25,1,Two-stage Gauss-Seidel,1.0,2,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,11.8564
0.25,1,Two-stage Gauss-Seidel,1.0,2,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,11.8997
0.25,1,Two-stage Gauss-Seidel,0.8,1,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,11.9036
0.25,1,Two-stage Gauss-Seidel,0.8,2,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,12.0562
0.25,1,Two-stage Gauss-Seidel,1.0,1,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.0612
0.25,1,Two-stage Gauss-Seidel,1.0,2,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,12.1675
0.25,1,Two-stage Gauss-Seidel,1.0,1,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,12.1731
0.25,1,Two-stage Gauss-Seidel,0.8,2,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.1918
0.25,1,Two-stage Gauss-Seidel,1.0,1,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.1979
0.25,1,Two-stage Gauss-Seidel,1.0,1,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,12.2032
0.25,1,Two-stage Gauss-Seidel,1.0,2,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.2154
0.25,1,Two-stage Gauss-Seidel,0.8,2,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.2235
0.25,1,Two-stage Gauss-Seidel,0.8,1,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.3028
0.75,1,MT Gauss-Seidel,1.0,1,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.5131
0.5,1,MT Gauss-Seidel,0.8,1,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.5133
0.75,1,MT Gauss-Seidel,0.8,1,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.5236
0.5,1,MT Gauss-Seidel,0.8,1,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.5255
0.75,1,MT Gauss-Seidel,0.8,2,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.5286
0.5,1,MT Gauss-Seidel,1.0,2,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.5314
0.75,1,MT Gauss-Seidel,0.8,2,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.5348
0.25,1,MT Gauss-Seidel,1.0,1,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.5376
0.25,1,MT Gauss-Seidel,1.0,1,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.5386
0.25,1,MT Gauss-Seidel,1.0,2,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.5421
0.5,1,MT Gauss-Seidel,0.8,2,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.5558
0.5,1,MT Gauss-Seidel,1.0,2,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.569
0.5,1,MT Gauss-Seidel,1.0,1,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.5694
0.25,1,MT Gauss-Seidel,0.8,2,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.5725
0.75,1,MT Gauss-Seidel,1.0,1,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.5731
0.5,1,MT Gauss-Seidel,0.8,2,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.5784
0.25,1,MT Gauss-Seidel,0.8,1,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.5802
0.75,1,MT Gauss-Seidel,1.0,2,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.5839
0.5,1,MT Gauss-Seidel,1.0,1,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.5957
0.25,1,MT Gauss-Seidel,1.0,2,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.6006
0.25,1,MT Gauss-Seidel,0.8,2,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.6156
0.25,1,MT Gauss-Seidel,0.8,1,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.6471
0.5,2,MT Gauss-Seidel,0.8,2,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.6863
0.5,2,MT Gauss-Seidel,1.0,2,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.6968
0.25,2,MT Gauss-Seidel,1.0,1,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.72
0.5,2,MT Gauss-Seidel,1.0,1,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.7203
0.5,2,MT Gauss-Seidel,0.8,1,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.7215
0.5,2,MT Gauss-Seidel,0.8,2,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.7347
0.25,1,MT Gauss-Seidel,1.0,2,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,12.7466
0.5,1,MT Gauss-Seidel,1.0,2,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,12.7471
0.75,1,MT Gauss-Seidel,1.0,1,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,12.7564
0.25,2,MT Gauss-Seidel,0.8,2,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.7592
0.25,1,MT Gauss-Seidel,0.8,1,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,12.7646
0.5,1,MT Gauss-Seidel,1.0,1,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,12.771
0.5,2,MT Gauss-Seidel,0.8,1,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.7721
0.25,2,MT Gauss-Seidel,0.8,2,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.773
0.25,2,MT Gauss-Seidel,0.8,1,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.7793
0.75,1,MT Gauss-Seidel,1.0,2,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.7862
0.25,2,MT Gauss-Seidel,1.0,2,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.7872
0.5,1,MT Gauss-Seidel,1.0,2,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,12.7873
0.25,2,MT Gauss-Seidel,1.0,1,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.7898
0.75,2,MT Gauss-Seidel,0.8,1,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.8056
0.25,1,MT Gauss-Seidel,1.0,1,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,12.8076
0.25,2,MT Gauss-Seidel,1.0,2,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.8107
0.25,2,MT Gauss-Seidel,0.8,1,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.8226
0.75,1,MT Gauss-Seidel,0.8,2,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,12.823
0.75,1,MT Gauss-Seidel,0.8,1,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,12.8302
0.5,1,MT Gauss-Seidel,0.8,1,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,12.8456
0.25,1,MT Gauss-Seidel,0.8,1,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,12.847
0.75,1,MT Gauss-Seidel,1.0,2,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,12.8581
0.75,1,MT Gauss-Seidel,0.8,1,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,12.8591
0.5,1,MT Gauss-Seidel,0.8,2,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,12.8625
0.5,1,MT Gauss-Seidel,1.0,1,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,12.8858
0.75,1,MT Gauss-Seidel,1.0,2,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,12.889
0.25,1,MT Gauss-Seidel,1.0,1,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,12.9033
0.25,1,MT Gauss-Seidel,0.8,2,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,12.9043
0.25,1,MT Gauss-Seidel,0.8,2,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,12.9164
0.5,1,MT Gauss-Seidel,0.8,1,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,12.9172
0.75,2,MT Gauss-Seidel,0.8,1,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.9387
0.25,1,MT Gauss-Seidel,1.0,2,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,12.9588
0.5,1,MT Gauss-Seidel,0.8,2,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,12.9644
0.75,2,MT Gauss-Seidel,0.8,2,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.9652
0.75,1,MT Gauss-Seidel,0.8,1,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,12.9751
0.75,2,MT Gauss-Seidel,1.0,1,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.9851
0.75,2,MT Gauss-Seidel,1.0,2,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,12.9951
0.5,2,MT Gauss-Seidel,1.0,1,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,13.1228
0.75,2,MT Gauss-Seidel,0.8,2,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,13.1288
0.5,2,MT Gauss-Seidel,1.0,2,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,13.1393
