param_grid = {'relaxation: damping factor': list(np.arange(0.4, 1.7, 0.1).round(decimals=1)),
              'relaxation: sweeps': list(np.arange(1, 5, 1))}
--timeout 60

chkao831@icme-gpu:~/ali-perf-tests/build/perf_tests/humboldt-3-20km$ python3 autotune.py input_albany_Velocity_MueLu_Wedge_Tune.yaml

Total #Iterations: 52
CASE:  humboldt-3-20km_vel_mu_wdg_tune_np12

    relaxation: damping factor  relaxation: sweeps     time
0                          0.9                   1  12.1996
1                          0.6                   1  12.2497
2                          0.7                   1  12.2521
3                          0.8                   1  12.2888
4                          1.0                   1  12.3036
5                          0.5                   1  12.3496
6                          1.1                   1  12.4317
7                          0.4                   1  12.4579
8                          1.0                   2  12.5510
9                          1.1                   2  12.6371
10                         0.9                   2  12.6438
11                         0.7                   2  12.7306
12                         0.8                   2  12.7448
13                         0.6                   2  12.7497
14                         1.2                   1  12.8010
15                         0.5                   2  12.8816
16                         1.2                   2  12.9059
17                         0.4                   2  12.9568
18                         1.1                   3  13.0956
19                         0.9                   3  13.1158
20                         1.0                   3  13.1278
21                         1.2                   3  13.2411
22                         0.7                   3  13.2753
23                         0.8                   3  13.2779
24                         0.6                   3  13.3240
25                         0.5                   3  13.5041
26                         1.3                   2  13.5055
27                         1.1                   4  13.6434
28                         0.4                   3  13.6988
29                         1.2                   4  13.7200
30                         1.0                   4  13.7703
31                         0.9                   4  13.8271
32                         0.8                   4  13.8471
33                         1.3                   3  13.9178
34                         1.3                   1  13.9306
35                         0.7                   4  13.9882
36                         0.6                   4  14.0485
37                         0.5                   4  14.0920
38                         1.3                   4  14.0930
39                         0.4                   4  14.2154
40                         1.4                   3  16.1008
41                         1.4                   4  16.1628
42                         1.4                   2  16.3200
43                         1.4                   1  18.3258
44                         1.5                   4  25.2339
45                         1.5                   3  25.7638
46                         1.5                   2  28.4560
47                         1.5                   1  35.8687
48                         1.6                   1      inf
49                         1.6                   2      inf
50                         1.6                   3      inf
51                         1.6                   4      inf
